Id da Organização,Deployment,API,Version,Data
99999999,dummy deployment,acceptance-and-branches-abroad,v1.0,23-01-2023
01704513,SulAmérica-Seguros-B3-Lina-Opin-v1.0,business,v1.0,01-03-2023
01704513,SulAmérica-Seguros-B3-Lina-Opin-v1.0,business,v1.0,28-02-2023
03209092,SANTANDER-CAPITALIZACAO-SA-API-CUSTOMER-BUSINESS-01-MAR-2023,business,v1.0,01-03-2023
03502099,Chubb-Seguros-B3-Lina-Opin-v.1.0,business,v1.0,21-03-2023
03546261,Cardif-Vida-B3-Lina-Opin-v1.0,business,v1.0,01-03-2023
03546261,Cardif-Vida-B3-Lina-Opin-v1.0,business,v1.0,28-02-2023
07746953,LuizaSeg-Vida-B3-Lina-Opin-v1.0,business,v1.0,28-02-2023
08279191,Cardif-Garantias-B3-Lina-Opin-v1,business,v1.0,01-03-2023
11521976,AUSTRAL SEGURADORA,business,v1.0,02-03-2023
13615969,EVIDENCE-PREVIDENCIA-SA-API-CUSTOMER-BUSINESS-01-MAR-2023,business,v1.0,01-03-2023
15138043,Brasilcap Capitalização OpinInsurance v1,business,v1.0,13-03-2023
18096627,HDI-Global-B3-Lina-Opin-v1,business,v1.0,01-03-2023
27665207,brasilprev2023BusinessData,business,v1.0,24-02-2023
28196889,Opus Open Insurance v1,business,v1.0,24-02-2023
29980158,HDI-Seguros-B3-Lina-Opin-v1.0,business,v1.0,28-03-2023
30617319,Santander-Auto-B3-Lina-Opin-v1,business,v1.0,01-03-2023
32724962,BTG Pactual Seguros OPIN v1.0.0,business,v1.0,26-02-2023
33055146,1.0,business,v1.0,16-03-2023
33061813,prudential-B3-Lina-Opin-v1,business,v1.0,01-03-2023
33245762,Too Seguros Auth Server 1.0.0,business,v1.0,14-02-2023
34020354,Youse,business,v1.0,01-03-2023
61383493,Sompo OPIN v1,business,v1.0,01-03-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-E-PREVIDENCIA-SA-MARCA-ZURICH-SANTANDER-PREVIDENCIA-API-CUSTOMER-BUSINES-01-MAR-2023,business,v1.0,28-02-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-E-PREVIDENCIA-SA-MARCA-ZURICH-SANTANDER-SEGUROS-API-CUSTOMER-BUSINES-01-MAR-2023,business,v1.0,28-02-2023
92751213,Previsul,business,v1.0,04-01-2023
01582075,Rio Grande Seguradora Auth Server v1.0.0,consents,v1.0,13-01-2023
01599296,CNPCapitalizacao,consents,v1.0,20-01-2023
01704513,SulAmericaSeguros,consents,v1.0,12-01-2023
03209092,SANTANDER-CAPITALIZACAO-SA-CONSENTS-13-JANUARY-2023,consents,v1.0,16-01-2023
03502099,Chubb Opin v1.0,consents,v1.0,13-01-2023
03546261,Cardif-Vida-LinaB3-Opin-v.1.0,consents,v1.0,12-01-2023
03730204,Caixa Vida e Previdência S.A.,consents,v1.0,17-02-2023
07746953,LuizaSeg-LinaB3-Opin-v.1.0,consents,v1.0,17-01-2023
08279191,Cardif-Seguros-LinaB3-Opin-v.1.0,consents,v1.0,13-01-2023
11521976,AUSTRAL SEGURADORA,consents,v1.0,23-02-2023
13615969,EVIDENCE-PREVIDENCIA-SA-CONSENTS-13-JANUARY-2023,consents,v1.0,16-01-2023
15138043,Pedido Certificação - consentimento - Brasilcap Capitalização S.A,consents,v1.0,14-01-2023
19449767,BTG Previdencia Open Insurance Auth Server 1.0,consents,v1.0,20-01-2023
27665207,brasilprev2022,consents,v1.0,13-01-2023
28196889,Opus Open Insurance v1,consents,v1.0,13-01-2023
29408732,XP-Seguros-Opin-1,consents,v1.0,02-02-2023
29980158,HDI-Global-B3-Lina-Opin-v.1.0,consents,v1.0,23-02-2023
29980158,HDI-Global-B3-Lina-Opin-v.1.0,consents,v1.0,24-02-2023
29980158,HDI-Seguros-B3-Lina-Opin-v.1.0,consents,v1.0,16-02-2023
29980158,HDI-Seguros-B3-Lina-Opin-v.1.0,consents,v1.0,23-02-2023
30617319,Santander-Auto-B3-Lina-Opin-v.1.0,consents,v1.0,16-02-2023
30617319,Santander-Auto-B3-Lina-Opin-v.1.0,consents,v1.0,23-02-2023
32724962,BTG Seguros Open Insurance Auth Server 1.0,consents,v1.0,18-01-2023
33055146,1.0,consents,v1.0,13-01-2023
33061813,Prudential Opin v.1.0,consents,v1.0,17-01-2023
33164021,Tokio Marine Seguradora SA,consents,v1.0,24-01-2023
33245762,Too Seguros Auth Server 1.0.0,consents,v1.0,13-01-2023
34020354,Caixa Seguradora,consents,v1.0,11-01-2023
34020354,Youse,consents,v1.0,11-01-2023
38155802,Functional Test API RESOURCES v1.0,consents,v1.0,28-02-2023
38155804,Caixa Capitalização Auth Server v1.0.0,consents,v1.0,13-01-2023
42283770,Icatu Seguros Auth Server v1.0.0,consents,v1.0,13-01-2023
44187990,Darwin-LinaB3-Opin-v.1.0,consents,v1.0,12-01-2023
61074175,MAPFRE Transmissor 1.0,consents,v1.0,07-02-2023
61100145," IndianaSeguros",consents,v1.0,12-01-2023
61198164,Open Insurance Brazil v1.0,consents,v1.0,31-01-2023
61383493,Sompo OPIN v1,consents,v1.0,13-01-2023
61550141,LibertySeguros,consents,v1.0,12-01-2023
61557039,CIAM consent V.1.0 Janeiro 2023,consents,v1.0,25-01-2023
61573796,Nexus for Open Insurance as of December 2022,consents,v1.0,13-01-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-E-PREVIDENCIA-SA-API-13-JANUARY-2023,consents,v1.0,17-01-2023
92751213,Previsul,consents,v1.0,11-01-2023
96348677,OpenInsurance v1.0,consents,v1.0,24-01-2023
99999999,dummy deployment,financial-risk,v1.0,23-01-2023
03502099,Chubb-Seguros-B3-Lina-Opin-v.1.0,patrimonial,v1-RL-CR-CC-RNRO-GB-LC-RE-AB-RD-GE,20-03-2023
07746953,LuizaSeg-Vida-B3-Lina-Opin-v1.0,patrimonial,v1-RL-CR-CC-RNRO-GB-LC-RE-AB-RD-GE,20-03-2023
08279191,Cardif-Garantias-B3-Lina-Opin-v1,patrimonial,v1-RL-CR-CC-RNRO-GB-LC-RE-AB-RD-GE,15-03-2023
28196889,Opus Open Insurance v1 4.1.43,patrimonial,v1-RL,24-02-2023
29980158,HDI-Seguros-B3-Lina-Opin-v1,patrimonial,v1-RL-CR-CC-RNRO-GB-LC-RE-AB-RD-GE,15-03-2023
33055146,1.0,patrimonial,v1-RL,16-03-2023
33245762,Too Seguros Auth Server 1.0.0,patrimonial,v1-RL-CR-CC-RNRO-GB-LC-RE-AB-RD-GE,24-02-2023
34020354,Caixa Seguradora,patrimonial,v1-RL,04-01-2023
61074175,MAPFRE Transmissor 1.0,patrimonial,v1-GE,30-01-2023
61074175,MAPFRE Transmissor 1.0,patrimonial,v1-RL-CR-CC-RNRO-GB-LC-RE-AB-RD-GE,07-02-2023
61383493,Sompo OPIN v1,patrimonial,v1-RL,01-03-2023
61550141,LibertySeguros Patrimonial v1.2,patrimonial,v1-RL-CR-CC-RE-RD-GE,20-03-2023
61550141,LibertySeguros Patrimonial v1,patrimonial,v1-RL-CR-CC-RNRO-LC-RE-RD-GE,08-03-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-E-PREVIDENCIA-SA-MARCA-ZURICH-SANTANDER-SEGUROS-API-PATRIMONIAL,patrimonial,v1-RL,28-02-2023
92751213,Previsul,patrimonial,v1-RL,04-01-2023
01582075,Rio Grande Seguradora Auth Server v1.0.0,personal,v1.0,23-02-2023
01599296,CNPCapitalizacao,personal,v1.0,01-03-2023
01704513,SulAmérica-Seguros-B3-Lina-Opin-v1.0,personal,v1.0,28-02-2023
03209092,SANTANDER-CAPITALIZACAO-SA-API-CUSTOMER-PERSONAL-01-MAR-2023,personal,v1.0,28-02-2023
03502099,Chubb-Seguros-B3-Lina-Opin-v.1.0,personal,v1.0,28-03-2023
03546261,Cardif-Vida-B3-Lina-Opin-v1.0,personal,v1.0,28-02-2023
07746953,LuizaSeg-Vida-B3-Lina-Opin-v1.0,personal,v1.0,28-03-2022
08279191,Cardif-Garantias-B3-Lina-Opin-v1.0,personal,v1.0,28-03-2023
11521976,AUSTRAL SEGURADORA,personal,v1.0,16-03-2023
13615969,EVIDENCE-PREVIDENCIA-SA-API-CUSTOMER-PERSONAL-01-MAR-2023,personal,v1.0,28-02-2023
15138043,Brasilcap Capitalização OpinInsurance v1,personal,v1.0,28-02-2023
18096627,HDI-Global-B3-Lina-Opin-v1.0,personal,v1.0,28-03-2023
27665207,brasilprev2022 PersonalData,personal,v1.0,01-03-2023
28196889,Opus Open Insurance v1 4.1.43,personal,v1.0,24-02-2023
29980158,HDI-Seguros-B3-Lina-Opin-v1.0,personal,v1.0,28-02-2023
33055146,1.0,personal,v1.0,08-03-2023
33061813,prudential-B3-Lina-Opin-v1.0,personal,v1.0,28-03-2023
33245762,Too Seguros Auth Server 1.0.0,personal,v1.0,14-02-2023
38155804,Caixa Capitalização Auth Server v1.0.0,personal,v1.0,24-02-2023
42283770,Icatu Seguros Auth Server v1.0.0,personal,v1.0,01-03-2023
44187990,Darwin-B3-Lina-Opin-v1.0,personal,v1.0,28-02-2023
61100145,IndianaSeguros-CustomerPersonal-v1,personal,v1.0,08-03-2023
61383493,Sompo OPIN v1,personal,v1.0,01-03-2023
61550141,LibertySeguros-CustomerPersonal-v1,personal,v1.0,01-03-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-E-PREVIDENCIA-SA-MARCA-ZURICH-SANTANDER-PREVIDENCIA-API-CUSTOMER-PERSONAL-01-MAR-2023,personal,v1.0,28-02-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-E-PREVIDENCIA-SA-MARQUE-ZURICH-SANTANDER-SEGUROS-API-CUSTOMER-PERSONAL-01-MAR-2023,personal,v1.0,28-02-2023
92751213,Previsul,personal,v1.0,06-03-2023
01582075,Rio Grande Seguradora Auth Server v1.0.0,resources,v1.0,13-01-2023
01599296,CNPcap,resources,v1.0,03-03-2023
01704513,SulAmericaSeguros,resources,v1.0,12-01-2023
03209092,SANTANDER-CAPITALIZACAO-SA-API-RESOURCES-13-JANUARY-2023,resources,v1.0,13-01-2023
03502099,Chubb Opin v1.0,resources,v1.0,13-01-2023
03546261,Cardif-Vida-LinaB3-Opin-v.1.0,resources,v1.0,12-01-2023
03730204,Caixa Vida e Previdência S.A.,resources,v1.0,24-02-2023
07746953,LuizaSeg-LinaB3-Opin-v.1.0,resources,v1.0,12-01-2023
08279191,Cardif-Seguros-LinaB3-Opin-v.1.0,resources,v1.0,12-01-2023
11521976,AUSTRAL SEGURADORA,resources,v1.0,23-02-2023
13615969,EVIDENCE-PREVIDENCIA-SA-API-RESOURCES-13-JANUARY-2023,resources,v1.0,13-01-2023
15138043,Pedido certificação - recurso - Brasilcap Capitalização S.A,resources,v1.0,19-01-2023
19449767,BTG Previdencia Open Insurance Auth Server 1.0,resources,v1.0,18-01-2023
24856160," Youse",resources,v1.0,02-03-2023
27665207,brasilprev2022,resources,v1.0,12-01-2023
28196889,Opus Open Insurance v1,resources,v1.0,12-01-2023
29408732,XP-Seguros-Opin-1,resources,v1.0,02-02-2023
29980158,HDI-Global-B3-Lina-Opin-v.1.0,resources,v1.0,23-02-2023
29980158,HDI-Global-B3-Lina-Opin-v.1.0,resources,v1.0,24-02-2023
29980158,HDI-Seguros-B3-Lina-Opin-v.1.0,resources,v1.0,23-02-2023
29980158,HDI-Seguros-B3-Lina-Opin-v.1.0,resources,v1.0,24-02-2023
30617319,Santander-Auto-B3-Lina-Opin-v.1.0,resources,v1.0,16-02-2023
30617319,Santander-Auto-B3-Lina-Opin-v.1.0,resources,v1.0,23-02-2023
32724962,BTG Seguros Open Insurance Auth Server 1.0,resources,v1.0,18-01-2023
33055146,1.0,resources,v1.0,30-01-2023
33061813,Prudential Opin v.1.0,resources,v1.0,17-01-2023
33164021,Tokio Marine Seguradora SA,resources,v1.0,24-01-2023
33245762,Too Seguros Auth Server 1.0.0,resources,v1.0,13-10-2023
34020354,CaixaSeguradora,resources,v1.0,02-03-2023
38155802,Functional Test API RESOURCES v1.0,resources,v1.0,28-02-2023
38155804,Caixa Capitalização Auth Server v1.0.0,resources,v1.0,13-01-2023
42283770,Icatu Seguros Auth Server v1.0.0,resources,v1.0,13-01-2023
44187990,Darwin-LinaB3-Opin-v.1.0,resources,v1.0,12-01-2023
61074175,MAPFRE Transmissor 1.0,resources,v1.0,07-02-2023
61100145," IndianaSeguros",resources,v1.0,12-01-2023
61198164,Open Insurance Brazil v1.0,resources,v1.0,13-02-2023
61383493,Sompo OPIN v1,resources,v1.0,19-01-2023
61550141,LibertySeguros,resources,v1.0,12-01-2023
61557039,CIAM resource V.1.0 Janeiro 2023,resources,v1.0,25-01-2023
61573796,Nexus for Open Insurance as of December 2022,resources,v1.0,13-01-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-E-PREVIDENCIA-SA-API-13-JANUARY-2023,resources,v1.0,13-01-2023
92751213," Previsul",resources,v1.0,02-03-2023
96348677,OpenInsurance v1.0,resources,v1.0,24-01-2023
99999999,dummy deployment,responsibility,v1.0,23-01-2023
