Id da Organização,Deployment,API,Version,Data
99999999,dummy,acceptance-and-branches-abroad,v1.2,03-10-2023
01582075,Rio-Grande-Seguradora-Auth-Server-v1.4.0,consents,v2.3,28-07-2023
01599296,CNP-Capitalização-OPIN-V.-1.0,consents,v2.3,27-07-2023
03502099,2fe49d23811e0642219dec360032efab703c4740,consents,v2.3,25-07-2023
03502099,Chubb-B3-Lina-OPIN-consents-v2.3.0,consents,v2.3,27-07-2023
06109373,Consents-v2.3,consents,v2.3,25-07-2023
13615969,EVIDENCE-PREVIDENCIA-SA-1-AUGUST-2023,consents,v2.3,27-07-2023
19449767,BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0,consents,v2.3,26-07-2023
24856160,Youse-OPIN-V.-1.0,consents,v2.3,28-07-2023
32090920,SANTANDER-CAPITALIZACAO-SA-1-AUGUST-2023,consents,v2.3,27-07-2023
32724962,BTG-Pactual-Seguros-OPIN-v1.0.0,consents,v2.3,28-07-2023
33055146,BS---Consents-v2.3.0,consents,v2.3,28-07-2023
33164021,Tokio-Marine---Open-Insurance-Barazil-V1.0.0,consents,v2.3,15-07-2023
33245762,Too-Seguros-Auth-Server,consents,v2.3,25-07-2023
34020354,Caixa-Seguradora-OPIN-V.-1.0,consents,v2.3,25-07-2023
38155804,Caixa-Capitalização-Auth-Server-v1.4.0,consents,v2.3,28-07-2023
40317530,Opin-Justos-Consents-v2.0.0,consents,v2.3,26-07-2023
42283770,Icatu-Seguros-Auth-Server-v1.4.0,consents,v2.3,28-07-2023
44187990,Darwin-B3-Lina-OPIN-consents-v2.3.0,consents,v2.3,27-07-2023
61074175,MAPFRE-OP-v1,consents,v2.3,27-07-2023
61100145,OpIn-Indiana-Consentsv1.0.0,consents,v2.3,19-07-2023
61550141,OpIn-Liberty-Consentsv1.0.0,consents,v2.3,19-07-2023
61557039,Itau-Seguros-Open-Insurance-Brazil-v2.3.0,consents,v2.3,20-07-2023
61573796,Nexus-for-Open-Insurance-as-of-July-2023,consents,v2.3,20-07-2023
87376109,ZURICH-SANTANDER-BRASIL-PREVIDENCIA-SA-1-AUGUST-20,consents,v2.3,27-07-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-SA-1-AUGUST-2023,consents,v2.3,27-07-2023
92751213,COMPANHIA-DE-SEGUROS-PREVIDENCIA-DO-SUL---PREVISUL,consents,v2.3,28-07-2023
01582075,Rio-Grande-Seguradora-Auth-Server-v1.4.0,customers-business,v1.4,25-07-2023
03502099,2fe49d23811e0642219dec360032efab703c4740,customers-business,v1.4,25-07-2023
03502099,Chubb-B3-Lina-OPIN-customers-personalv1.4.0,customers-business,v1.4,27-07-2023
06109373,Customer-Business-V1.4,customers-business,v1.4,25-07-2023
13615969,EVIDENCE-PREVIDENCIA-SA-1-AUGUST-2023,customers-business,v1.4,27-07-2023
19449767,BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0,customers-business,v1.4,26-07-2023
32090920,SANTANDER-CAPITALIZACAO-SA-1-AUGUST-2023,customers-business,v1.4,27-07-2023
32724962,BTG-Pactual-Seguros-OPIN-v1.0.0,customers-business,v1.4,28-07-2023
33055146,BS---Customer-v.1.4.0,customers-business,v1.4,28-07-2023
33164021,Tokio-Marine---Open-Insurance-Barazil-V1.0.0,customers-business,v1.4,15-07-2023
33245762,Too-Seguros-Auth-Server,customers-business,v1.4,25-07-2023
38155804,Caixa-Capitalização-Auth-Server-v1.4.0,customers-business,v1.4,21-07-2023
42283770,Icatu-Seguros-Auth-Server-v1.4.0,customers-business,v1.4,21-07-2023
44187990,Darwin-B3-Lina-OPIN-customers-business-v1.4.0,customers-business,v1.4,28-07-2023
61074175,MAPFRE-OP-v1,customers-business,v1.4,27-07-2023
61100145,OpIn-Indiana-CustomerBusinesv1.0.0,customers-business,v1.4,19-07-2023
61550141,OpIn-Liberty-CustomerBusinessv1.0.0,customers-business,v1.4,20-07-2023
61557039,Itau-Seguros-Open-Insurance-Brazil-v1.4.0,customers-business,v1.4,15-07-2023
61573796,Nexus-for-Open-Insurance-as-of-July-2023,customers-business,v1.4,20-07-2023
87376109,ZURICH-SANTANDER-BRASIL-PREVIDENCIA-SA-1-AUGUST-20,customers-business,v1.4,27-07-2023
87376109,ZURICH-SANTANDER-BRASIL-SEGUROS-SA-1-AUGUST-2023,customers-business,v1.4,27-07-2023
01582075,Rio-Grande-Seguradora-Auth-Server-v1.4.0,customers-personal,v1.4,25-07-2023
01599296,CNP-Capitalização-OPIN-V.-1.0,customers-personal,v1.4,27-07-2023
03502099,2fe49d23811e0642219dec360032efab703c4740,customers-personal,v1.4,25-07-2023
