Conglomerado;Marca;Consentimento API versão 2.3;Dados Cadastrais (PF) API versão 1.4;Dados Cadastrais (PJ) API versão 1.4;Resources API versão 2.3;Aceitação e Sucursal no exterior API versão 1.2;Riscos Financeiros API versão 1.2;Patrimonial API versão 1.3;Responsabilidade API versão 1.2
CHUBB SEGUROS BRASIL S.A.;CHUBB OPIN;[27-Jul-2027](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/03502099_2fe49d23811e0642219dec360032efab703c4740_consents_v2.3_25-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/03502099_2fe49d23811e0642219dec360032efab703c4740_customers-personal_v1.4_25-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/03502099_2fe49d23811e0642219dec360032efab703c4740_customers-business_v1.4_25-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/03502099_2fe49d23811e0642219dec360032efab703c4740_resources_v2.3_25-07-2023.json);;;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/03502099_654206608a66d0819b50d8358aa7019f56da8744_patrimonial_v1.3-RL_27-07-2023.json);
DARWIN SEGUROS S.A;DarwinSeguros;[12-Jan-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/44187990_Darwin-B3-Lina-OPIN-consents-v2.3.0_consents_v2.3_27-07-2023.json);[01-Sep-2022](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/44187990_Darwin-B3-Lina-OPIN-customers-personal-v1.4.0_customers-personal_v1.4_28-07-2023.json);[01-Sep-2022](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/44187990_Darwin-B3-Lina-OPIN-customers-business-v1.4.0_customers-business_v1.4_28-07-2023.json);[12-Jan-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/44187990_Darwin-B3-Lina-OPIN-resources-v2.3.0_resources_v2.3_27-07-2023.json);;;;
BTG PACTUAL VIDA E PREVIDENCIA S.A.;BTG PACTUAL VIDA E PREVIDENCIA;[26-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/19449767_BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0_consents_v2.3_26-07-2023.json);[26-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/19449767_BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0_customers-personal_v1.4_26-07-2023.json);[26-Jun-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/19449767_BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0_customers-business_v1.4_26-07-2023.json);[24-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/19449767_BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0_resources_v2.3_26-07-2023.json);;;;
ZURICH SANTANDER BRASIL SEGUROS E PREVIDENCIA S.A.;Zurich Santander Seguros;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/87376109_ZURICH-SANTANDER-BRASIL-SEGUROS-SA-1-AUGUST-2023_consents_v2.3_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/87376109_ZURICH-SANTANDER-BRASIL-SEGUROS-SA-1-AUGUST-2023_customers-personal_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/87376109_ZURICH-SANTANDER-BRASIL-SEGUROS-SA-1-AUGUST-2023_customers-business_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/87376109_ZURICH-SANTANDER-BRASIL-SEGUROS-SA-1-AUGUST-2023_resources_v2.3_27-07-2023.json);;;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/87376109_ZURICH-SANTANDER-BRASIL-SEGUROS-SA-1-AUGUST-2023_patrimonial_v1.3-RL-RD_27-07-2023.json);
ZURICH SANTANDER BRASIL SEGUROS E PREVIDENCIA S.A.;Zurich Santander Previdência;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/87376109_ZURICH-SANTANDER-BRASIL-PREVIDENCIA-SA-1-AUGUST-20_consents_v2.3_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/87376109_ZURICH-SANTANDER-BRASIL-PREVIDENCIA-SA-1-AUGUST-20_customers-personal_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/87376109_ZURICH-SANTANDER-BRASIL-PREVIDENCIA-SA-1-AUGUST-20_customers-business_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/87376109_ZURICH-SANTANDER-BRASIL-PREVIDENCIA-SA-1-AUGUST-20_resources_v2.3_27-07-2023.json);;;;
ALLIANZ SEGUROS S.A.;ALLIANZ SEGUROS;[20-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/61573796_Nexus-for-Open-Insurance-as-of-July-2023_consents_v2.3_20-07-2023.json);[20-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/61573796_Nexus-for-Open-Insurance-as-of-July-2023_customers-personal_v1.4_20-07-2023.json);[20-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/61573796_Nexus-for-Open-Insurance-as-of-July-2023_customers-business_v1.4_20-07-2023.json);[20-Jul-2023](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/resources/2.3.0/61573796_Nexus-for-Open-Insurance-as-of-July-2023_resources_v2.3_20-07-2023.json);;;[20-Jul-2023](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/patrimonial/1.3.0/61573796_Nexus-for-Open-Insurance-as-of-July-2023_patrimonial_v1.3-RL-CC-EM-RNRO-GB-LC-RE-AB-RD-GE_20-07-2023.json);
SANTANDER CAPITALIZACAO S.A.;Evidence;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/13615969_EVIDENCE-PREVIDENCIA-SA-1-AUGUST-2023_consents_v2.3_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/13615969_EVIDENCE-PREVIDENCIA-SA-1-AUGUST-2023_customers-personal_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/13615969_EVIDENCE-PREVIDENCIA-SA-1-AUGUST-2023_customers-business_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/13615969_EVIDENCE-PREVIDENCIA-SA-1-AUGUST-2023_resources_v2.3_27-07-2023.json);;;;
MAPFRE SEGUROS GERAIS S.A.;MAPFRE SEGUROS GERAIS;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/61074175_MAPFRE-OP-v1_consents_v2.3_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/61074175_MAPFRE-OP-v1_customers-personal_v1.4_27-07-2023.json);[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/61074175_MAPFRE-OP-v1_customers-business_v1.4_27-07-2023.json);;;;[27-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/61074175_MAPFRE-OP-v1_patrimonial_v1.3-RL_27-07-2023.json);
BRADESCO SEGUROS S.A.;Bradesco Seguros;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/consents/2.3.0/33055146_BS---Consents-v2.3.0_consents_v2.3_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-personal/1.4.0/33055146_BS---Customers-v1.4.0_customers-personal_v1.4_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/customers-business/1.4.0/33055146_BS---Customer-v.1.4.0_customers-business_v1.4_28-07-2023.json);[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/resources/2.3.0/33055146_BS---Resources-v2.3.0_resources_v2.3_28-07-2023.json);;;[28-Jul-2023](https://github.com/br-openinsurance/Conformance/tree/main/submissions/functional/patrimonial/1.3.0/33055146_BS---Patrimonial---1.3.0_patrimonial_v1.3-RL-CC-EM-RNRO_28-07-2023.json);
