Id da Organização,Deployment,API,Version,Data
01582075,Rio-Grande-Seguradora-Auth-Server-v1.4.0,claim-notification-damages,v1.3,06-08-2024
03730204,Claim-Notification-damages,claim-notification-damages,v1.3,30-07-2024
06109373,FASE3BL4CLMD,claim-notification-damages,v1.3,26-07-2024
06109373,FASE3BL5CLMD,claim-notification-damages,v1.3,09-08-2024
06109373,FASE3BL6CNDM,claim-notification-damages,v1.3,23-12-2024
19449767,BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0BTG-Pactual-Vid,claim-notification-damages,v1.3,17-07-2024
28196889,Claim-Notification-Damages---Re-Certificação,claim-notification-damages,v1.3,08-08-2024
33055146,BS-Claim-Damages-1.3.0,claim-notification-damages,v1.3,01-08-2024
33164021,Opin-Claim-Notification-damages-Api,claim-notification-damages,v1.3,08-08-2024
33245762,Too-Seguros-Auth-Server-,claim-notification-damages,v1.3,25-07-2024
34020354,Caixa-Seguradora-OPIN-V.-1.0,claim-notification-damages,v1.3,12-08-2024
34020354,Youse-OPIN-V.-1.0,claim-notification-damages,v1.3,30-07-2024
38155802,aviso-sinistro-api-v1,claim-notification-damages,v1.3,01-08-2024
42283770,Icatu-Seguros-Auth-Server-v1.4.0,claim-notification-damages,v1.3,06-08-2024
45865343,Justos-V1,claim-notification-damages,v1.3,09-10-2024
61074175,MAPFRE-OP-v1,claim-notification-damages,v1.3,16-09-2024
61198164,Porto-Seguro---Claim-Notification-Damage-v1.3.0,claim-notification-damages,v1.3,29-07-2024
61383493,Open-Insurance-Brasil-v-1.3.0,claim-notification-damages,v1.3,31-07-2024
61550141,OpIn-Yelum-claim-notification-damages-v1.3,claim-notification-damages,v1.3,06-12-2024
61557039,1.3.0,claim-notification-damages,v1.3,01-08-2024
61573796,Nexus-for-Open-Insurance-v2.0-(Jan-2024),claim-notification-damages,v1.3,07-08-2024
72145931,Swissre-Claim-B3-Lina-OPIN,claim-notification-damages,v1.3,09-08-2024
87376109,ZS-SEGUROS-CLAIM-NOTIFICATION-DAMAGE-24-07-24,claim-notification-damages,v1.3,25-07-2024
96348677,Sinistro-,claim-notification-damages,v1.3,30-07-2024
