Organização,Deployment,claim notification damages v1.3,claim notification person v1.3,endorsement v1.2,quote patrimonial home v1.10,quote acceptance and branches abroad v1.8,quote auto v1.9,quote financial risk v1.8,quote housing v1.8,quote responsibility v1.8,quote rural v1.8,quote transport v1.8,contract life pension v1.13,withdrawal pension v1.3,withdrawal capitalization title v1.3,quote person life v1.11,quote person travel v1.11,quote capitalization title v1.10
RIO GRANDE SEGUROS E PREVIDENCIA S.A.,Rio-Grande-Seguradora-Auth-Server-v1.4.0,[06-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/01582075_Rio-Grande-Seguradora-Auth-Server-v1.4.0_claim-notification-damages_v1.3.0_06-08-2024.json),,[31-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/endorsement/1.2.0/01582075_Rio-Grande-Seguradora-Auth-Server-v1.4.0_endorsement_v1.2.0_31-07-2024.json),,,,,,,,,,,,,,
CAIXA VIDA E PREVIDENCIA S.A.,Claim-Notification-damages,[30-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/03730204_Claim-Notification-damages_claim-notification-damages_v1.3.0_30-07-2024.json),,,,,,,,,,,,,,,,
SAFRA SEGUROS GERAIS S.A.,FASE3BL4CLMD,[26-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/06109373_FASE3BL4CLMD_claim-notification-damages_v1.3.0_26-07-2024.json),,,,,,,,,,,,,,,,
SAFRA SEGUROS GERAIS S.A.,FASE3BL5CLMD,[09-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/06109373_FASE3BL5CLMD_claim-notification-damages_v1.3.0_09-08-2024.json),,,,,,,,,,,,,,,,
SAFRA SEGUROS GERAIS S.A.,FASE3BL6CNDM,[23-12-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/06109373_FASE3BL6CNDM_claim-notification-damages_v1.3.0_23-12-2024.json),,,,,,,,,,,,,,,,
BTG PACTUAL VIDA E PREVIDENCIA S.A.,BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0BTG-Pactual-Vid,[17-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/19449767_BTG-Pactual-Vida-e-Prev-OPIN-v1.0.0BTG-Pactual-Vid_claim-notification-damages_v1.3.0_17-07-2024.json),,,,,,,,,,,,,,,,
BRASILSEG COMPANHIA DE SEGUROS,Claim-Notification-Damages---Re-Certificação,[08-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/28196889_Claim-Notification-Damages---Re-Certificação_claim-notification-damages_v1.3.0_08-08-2024.json),,,,,,,,,,,,,,,,
BRADESCO SEGUROS S.A.,BS-Claim-Damages-1.3.0,[01-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/33055146_BS-Claim-Damages-1.3.0_claim-notification-damages_v1.3.0_01-08-2024.json),,,,,,,,,,,,,,,,
TOKIO MARINE SEGURADORA S.A,Opin-Claim-Notification-damages-Api,[08-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/33164021_Opin-Claim-Notification-damages-Api_claim-notification-damages_v1.3.0_08-08-2024.json),,,,,,,,,,,,,,,,
TOO SEGUROS S.A,Too-Seguros-Auth-Server-,[25-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/33245762_Too-Seguros-Auth-Server-_claim-notification-damages_v1.3.0_25-07-2024.json),[25-11-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-person/1.3.0/33245762_Too-Seguros-Auth-Server-_claim-notification-person_v1.3.0_25-11-2024.json),[30-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/endorsement/1.2.0/33245762_Too-Seguros-Auth-Server-_endorsement_v1.2.0_30-07-2024.json),,,,[29-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/quote-financial-risk/1.8.0/33245762_Too-Seguros-Auth-Server-_quote-financial-risk_v1.8.0_29-07-2024.json),[18-09-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/quote-housing/1.8.0/33245762_Too-Seguros-Auth-Server-_quote-housing_v1.8.0_18-09-2024.json),,[28-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/quote-rural/1.8.0/33245762_Too-Seguros-Auth-Server-_quote-rural_v1.8.0_28-08-2024.json),,,,,,,
CAIXA SEGURADORA S.A.,Caixa-Seguradora-OPIN-V.-1.0,[12-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/34020354_Caixa-Seguradora-OPIN-V.-1.0_claim-notification-damages_v1.3.0_12-08-2024.json),,[07-08-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/endorsement/1.2.0/34020354_Caixa-Seguradora-OPIN-V.-1.0_endorsement_v1.2.0_07-08-2024.json),,,,,[02-10-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/quote-housing/1.8.0/34020354_Caixa-Seguradora-OPIN-V.-1.0_quote-housing_v1.8.0_02-10-2024.json),,,,,,,,,
CAIXA SEGURADORA S.A.,Youse-OPIN-V.-1.0,[30-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/claim-notification-damages/1.3.0/34020354_Youse-OPIN-V.-1.0_claim-notification-damages_v1.3.0_30-07-2024.json),,[30-07-2024](https://github.com/br-openinsurance/Conformance/blob/main/submissions/functional/endorsement/1.2.0/34020354_Youse-OPIN-V.-1.0_endorsement_v1.2.0_30-07-2024.json),,,,,,,,,,,,,,
